schema_version,experiment_name,task,model,model_source,sequence_length,memory_budget,seed,config_path,config_sha256,checkpoint_path,checkpoint_resume_pass,stability_pass,mean_loss,token_accuracy,exact_match_accuracy,relevant_state_retention_rate,irrelevant_state_retention_rate,memory_precision,memory_recall,average_retention_duration,successful_long_range_retrievals,cache_turnover,eviction_errors,write_frequency,recent_state_overlap,expected_random_retention,max_memory_size,budget_pass,wall_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_mb,tokens_per_second,parameter_count,resource_measurement_pass,train_first_loss,train_final_loss,maximum_gradient_norm,budget
1.0,section15_pilot,associative_recall,gru_uniform_cache,pilot_uniform_checkpoint_cache,256,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru_uniform_cache/last.pt,True,True,6.268246253331502,0.0,0.0,0.08333333333333333,0.06147540983606558,0.0625,0.08333333333333333,127.5,0,0,44,0.0625,0.0625,0.0625,16,True,0.7769759930015425,0.7700000000000102,0.019999999999999574,937.4140625,15815.160456284015,182976,True,5.254156410694122,4.563963294029236,0.0,16
1.0,section15_pilot,associative_recall,gru_uniform_cache,pilot_uniform_checkpoint_cache,256,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru_uniform_cache/last.pt,True,True,6.15638542175293,0.0,0.0,0.16666666666666666,0.12295081967213116,0.0625,0.16666666666666666,127.96875,0,0,40,0.125,0.125,0.125,32,True,0.8108771639963379,0.8200000000000216,0.009999999999999787,937.4140625,15153.959866670379,182976,True,5.254156410694122,4.563963294029236,0.0,32
1.0,section15_pilot,associative_recall,gru_uniform_cache,pilot_uniform_checkpoint_cache,512,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru_uniform_cache/last.pt,True,True,6.139326969782512,0.0,0.0,0.0,0.032,0.0,0.0,255.9375,0,0,48,0.03125,0.0625,0.03125,16,True,1.4256591400044272,1.420000000000016,0.03999999999999915,937.4140625,17238.342118666376,182976,True,5.254156410694122,4.563963294029236,0.0,16
1.0,section15_pilot,associative_recall,gru_uniform_cache,pilot_uniform_checkpoint_cache,512,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru_uniform_cache/last.pt,True,True,5.7328933874766035,0.0,0.0,0.08333333333333333,0.062,0.03125,0.08333333333333333,255.96875,0,0,44,0.0625,0.0625,0.0625,32,True,1.6431374620005954,1.6200000000000045,0.0600000000000005,937.4140625,14956.75229148363,182976,True,5.254156410694122,4.563963294029236,0.0,32
1.0,section15_pilot,associative_recall,gru_uniform_cache,pilot_uniform_checkpoint_cache,1024,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru_uniform_cache/last.pt,True,True,6.00891915957133,0.020833333333333332,0.020833333333333332,0.0,0.015810276679841893,0.0,0.0,511.875,1,0,48,0.015625,0.0625,0.015625,16,True,2.970189906998712,2.990000000000009,0.05999999999999872,937.4140625,16548.436813478576,182976,True,5.254156410694122,4.563963294029236,0.0,16
1.0,section15_pilot,associative_recall,gru_uniform_cache,pilot_uniform_checkpoint_cache,1024,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru_uniform_cache/last.pt,True,True,5.905568520228068,0.0,0.0,0.0,0.031620553359683785,0.0,0.0,511.5,0,0,48,0.03125,0.03125,0.03125,32,True,2.9745144010012154,2.940000000000026,0.09000000000000163,937.4140625,16524.377889532334,182976,True,5.254156410694122,4.563963294029236,0.0,32
1.0,section15_pilot,associative_recall,gru_reservoir_cache,pilot_reservoir_cache,256,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru_reservoir_cache/last.pt,True,True,5.783154249191284,0.0,0.0,0.11458333333333331,0.05993852459016393,0.0859375,0.11458333333333331,134.1953125,0,2166,42,0.23876953125,0.0703125,0.0625,16,True,1.5259809480048716,1.4599999999999795,0.02999999999999936,937.4140625,8052.525174751246,182976,True,5.237400561571121,4.5174068212509155,0.0,16
1.0,section15_pilot,associative_recall,gru_reservoir_cache,pilot_reservoir_cache,256,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru_reservoir_cache/last.pt,True,True,5.991302649180095,0.0,0.0,0.1770833333333333,0.12243852459016392,0.06640625,0.1770833333333333,138.42578125,0,3300,40,0.3935546875,0.12890625,0.125,32,True,1.9612013289952301,1.8899999999999864,0.03999999999999915,937.4140625,6265.547457228899,182976,True,5.237400561571121,4.5174068212509155,0.0,32
1.0,section15_pilot,associative_recall,gru_reservoir_cache,pilot_reservoir_cache,512,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru_reservoir_cache/last.pt,True,True,5.902337471644084,0.0,0.0,0.07291666666666666,0.03025,0.0546875,0.07291666666666666,282.9140625,0,2676,44,0.14013671875,0.0390625,0.03125,16,True,2.8187925959937274,2.7399999999999807,0.07000000000000028,937.4140625,8718.626561929103,182976,True,5.237400561571121,4.5174068212509155,0.0,16
1.0,section15_pilot,associative_recall,gru_reservoir_cache,pilot_reservoir_cache,512,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/associative_recall/gru_reservoir_cache/last.pt,True,True,5.643236080805461,0.0,0.0,0.125,0.061,0.046875,0.125,280.55078125,0,4416,42,0.2421875,0.07421875,0.0625,32,True,4.220761181997659,4.189999999999998,0.0600000000000005,937.4140625,5822.646423308967,182976,True,5.237400561571121,4.5174068212509155,0.0,32
